school_name,district,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,exclusionary,exclusionary_ps,district_size,d_black,d_hisp,d_white,d_esol,d_migrant,d_frl,school_name_unique,year,fac_schtype
Appling County High School,Appling County,983,64.09,22,13,62,5,0.8,100,0.101729399796541,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,Appling County High School_Appling County,2016,H
Appling County Elementary School,Appling County,546,80.22,30,20,44,9,10.1,11,0.0201465201465201,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,Appling County Elementary School_Appling County,2016,E
Appling County Middle School,Appling County,752,71.41,20,12,64,4,1.5,37,0.0492021276595745,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,Appling County Middle School_Appling County,2016,M
Appling County Primary School,Appling County,572,81.47,29,22,44,11,19.8,0,0,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,Appling County Primary School_Appling County,2016,E
Altamaha Elementary School,Appling County,358,66.2,7,8,83,2,5.3,4,0.0111731843575419,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,Altamaha Elementary School_Appling County,2016,E
Fourth District Elementary School,Appling County,171,77.19,11,14,70,2,10.5,0,0,3382,21.8867534003548,14.951212300414,59.1218214074512,6.63734476641041,5.96895328208161,72.1469071555293,Fourth District Elementary School_Appling County,2016,E
Atkinson County High School,Atkinson County,458,84.93,19,33,48,1,0.4,47,0.102620087336245,1619,16.9592340951204,36.8727609635578,44.8529956763434,9.92452130945028,4.82890673255096,88.2650277949352,Atkinson County High School_Atkinson County,2016,H
Atkinson County Middle School,Atkinson County,378,84.92,15,35,48,5,3.7,32,0.0846560846560847,1619,16.9592340951204,36.8727609635578,44.8529956763434,9.92452130945028,4.82890673255096,88.2650277949352,Atkinson County Middle School_Atkinson County,2016,M
Willacoochee Elementary School,Atkinson County,193,91.16,25,31,43,10,13,1,0.00518134715025907,1619,16.9592340951204,36.8727609635578,44.8529956763434,9.92452130945028,4.82890673255096,88.2650277949352,Willacoochee Elementary School_Atkinson County,2016,E
Pearson Elementary School,Atkinson County,590,92.05,14,43,41,6,20.3,62,0.105084745762712,1619,16.9592340951204,36.8727609635578,44.8529956763434,9.92452130945028,4.82890673255096,88.2650277949352,Pearson Elementary School_Atkinson County,2016,E
Bacon County Primary School,Bacon County,533,86.49,23,15,56,3,10.5,7,0.0131332082551595,2046,20.8250244379277,12.010752688172,63.1353861192571,3.9786412512219,2.72140762463343,73.948137829912,Bacon County Primary School_Bacon County,2016,E
Bacon County Middle School,Bacon County,460,66.96,22,10,66,3,0.7,104,0.226086956521739,2046,20.8250244379277,12.010752688172,63.1353861192571,3.9786412512219,2.72140762463343,73.948137829912,Bacon County Middle School_Bacon County,2016,M
Bacon County High School,Bacon County,570,57.19,16,10,71,2,0,130,0.228070175438597,2046,20.8250244379277,12.010752688172,63.1353861192571,3.9786412512219,2.72140762463343,73.948137829912,Bacon County High School_Bacon County,2016,H
