school_name,district,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,exclusionary,exclusionary_ps,district_size,d_black,d_hisp,d_white,d_esol,d_migrant,d_frl,school_name_unique,year,fac_schtype
Appling County High School,Appling County,1003,59.02,22,11,64,4,1.3,90,0.0897308075772682,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,Appling County High School_Appling County,2015,H
Appling County Elementary School,Appling County,587,75.98,29,19,47,7,8.7,15,0.0255536626916525,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,Appling County Elementary School_Appling County,2015,E
Appling County Middle School,Appling County,771,65.11,22,12,62,4,1.4,36,0.0466926070038911,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,Appling County Middle School_Appling County,2015,M
Appling County Primary School,Appling County,603,80.43,30,22,45,9,19.2,1,0.00165837479270315,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,Appling County Primary School_Appling County,2015,E
Altamaha Elementary School,Appling County,340,60.59,6,6,86,2,4.1,0,0,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,Altamaha Elementary School_Appling County,2015,E
Fourth District Elementary School,Appling County,152,65.13,9,9,78,5,2.6,0,0,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,Fourth District Elementary School_Appling County,2015,E
Atkinson County High School,Atkinson County,435,80,20,32,47,0,1.1,46,0.105747126436782,1589,17.3241032095658,35.9760855884204,45.2208936438011,9.4882945248584,2.88923851478918,87.6033794839522,Atkinson County High School_Atkinson County,2015,H
Atkinson County Middle School,Atkinson County,393,85.75,15,35,49,2,1.8,32,0.0814249363867685,1589,17.3241032095658,35.9760855884204,45.2208936438011,9.4882945248584,2.88923851478918,87.6033794839522,Atkinson County Middle School_Atkinson County,2015,M
Willacoochee Elementary School,Atkinson County,190,88.96,29,32,37,5,10,5,0.0263157894736842,1589,17.3241032095658,35.9760855884204,45.2208936438011,9.4882945248584,2.88923851478918,87.6033794839522,Willacoochee Elementary School_Atkinson County,2015,E
Pearson Elementary School,Atkinson County,571,94.22,13,41,44,5,21,49,0.0858143607705779,1589,17.3241032095658,35.9760855884204,45.2208936438011,9.4882945248584,2.88923851478918,87.6033794839522,Pearson Elementary School_Atkinson County,2015,E
