district,school_name,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,exclusionary,exclusionary_ps,district_size,d_black,d_hisp,d_white,d_esol,d_migrant,d_frl,year,fac_schtype
Appling County,Appling County High School,1003,59.02,22,11,64,4,1.3,90,0.0897308075772682,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,2015,H
Appling County,Appling County Elementary School,587,75.98,29,19,47,7,8.7,15,0.0255536626916525,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,2015,E
Appling County,Appling County Middle School,771,65.11,22,12,62,4,1.4,36,0.0466926070038911,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,2015,M
Appling County,Appling County Primary School,603,80.43,30,22,45,9,19.2,1,0.00165837479270315,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,2015,E
Appling County,Altamaha Elementary School,340,60.59,6,6,86,2,4.1,0,0,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,2015,E
Appling County,Fourth District Elementary School,152,65.13,9,9,78,5,2.6,0,0,3456,22.4389467592593,13.9212962962963,60.1313657407408,6.03501157407407,5.22916666666667,67.4180497685185,2015,E
Atkinson County,Atkinson County High School,435,80,20,32,47,0,1.1,46,0.105747126436782,1589,17.3241032095658,35.9760855884204,45.2208936438011,9.4882945248584,2.88923851478918,76.9662492133417,2015,H
Atkinson County,Atkinson County Middle School,393,85.75,15,35,49,2,1.8,32,0.0814249363867685,1589,17.3241032095658,35.9760855884204,45.2208936438011,9.4882945248584,2.88923851478918,76.9662492133417,2015,M
Atkinson County,Willacoochee Elementary School,190,,29,32,37,5,10,5,0.0263157894736842,1589,17.3241032095658,35.9760855884204,45.2208936438011,9.4882945248584,2.88923851478918,76.9662492133417,2015,E
Atkinson County,Pearson Elementary School,571,94.22,13,41,44,5,21,49,0.0858143607705779,1589,17.3241032095658,35.9760855884204,45.2208936438011,9.4882945248584,2.88923851478918,76.9662492133417,2015,E
Bacon County,Bacon County Primary School,519,76.11,24,14,56,5,9.8,10,0.0192678227360308,2026,20.9299111549852,10.3998025666338,64.9017769002962,4.03993089832182,2.97285291214215,65.448543928924,2015,E
Bacon County,Bacon County Middle School,460,61.96,19,10,68,2,1.3,144,0.31304347826087,2026,20.9299111549852,10.3998025666338,64.9017769002962,4.03993089832182,2.97285291214215,65.448543928924,2015,M
Bacon County,Bacon County High School,560,55.71,17,6,74,1,0.9,96,0.171428571428571,2026,20.9299111549852,10.3998025666338,64.9017769002962,4.03993089832182,2.97285291214215,65.448543928924,2015,H
Bacon County,Bacon County Elementary School,487,68.58,24,12,61,4,4.1,1,0.00205338809034908,2026,20.9299111549852,10.3998025666338,64.9017769002962,4.03993089832182,2.97285291214215,65.448543928924,2015,E
Baker County,Baker County K12 School,314,,68,10,4,1,0,6,0.0191082802547771,314,68,10,4,0,1,0,2015,K12
Baldwin County,Oak Hill MS,1125,89.16,69,2,25,0,0.2,1037,0.921777777777778,7185,64.6328462073765,2.1375086986778,28.8533054975644,0.546026443980515,0,89.5162059846903,2015,M
Baldwin County,Eagle Ridge Elementary School,800,94.25,80,0,16,0,0,311,0.38875,7185,64.6328462073765,2.1375086986778,28.8533054975644,0.546026443980515,0,89.5162059846903,2015,
Baldwin County,Baldwin High School,1278,82.79,68,3,26,0,0.3,582,0.455399061032864,7185,64.6328462073765,2.1375086986778,28.8533054975644,0.546026443980515,0,89.5162059846903,2015,H
Baldwin County,Midway Elementary School,2270,93.11,64,1,30,0,0,103,0.0453744493392071,7185,64.6328462073765,2.1375086986778,28.8533054975644,0.546026443980515,0,89.5162059846903,2015,E
Baldwin County,Midway Elementary School,2270,93.11,64,1,30,0,0,103,0.0453744493392071,7185,64.6328462073765,2.1375086986778,28.8533054975644,0.546026443980515,0,89.5162059846903,2015,E
Baldwin County,Blandy Hills Elementary School,778,89.72,60,3,32,0,2.7,130,0.167095115681234,7185,64.6328462073765,2.1375086986778,28.8533054975644,0.546026443980515,0,89.5162059846903,2015,
Baldwin County,Creekside Elementary School,934,86.19,47,5,43,0,1.3,82,0.0877944325481799,7185,64.6328462073765,2.1375086986778,28.8533054975644,0.546026443980515,0,89.5162059846903,2015,
Banks County,Banks County Middle School,689,66.62,2,7,88,0,0.9,2,0.00290275761973875,2816,1.78018465909091,7.75532670454545,86.9279119318182,2.85174005681818,0,66.2633522727273,2015,M
