district,school_name,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,exclusionary,exclusionary_ps,district_size,d_black,d_hisp,d_white,d_esol,d_migrant,d_frl,year,fac_schtype
Appling County,Appling County High School,984,64.94,20,13,63,5,0.8,145,0.147357723577236,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,2017,H
Appling County,Appling County Elementary School,576,81.94,29,21,45,8,10.9,0,0,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,2017,E
Appling County,Appling County Middle School,773,71.93,22,13,61,5,2.3,41,0.0530401034928849,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,2017,M
Appling County,Appling County Primary School,507,83.23,28,23,43,10,17.6,0,0,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,2017,E
Appling County,Altamaha Elementary School,361,69.81,9,8,80,2,4.2,0,0,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,2017,E
Appling County,Fourth District Elementary School,178,69.66,10,10,74,3,6.2,2,0.0112359550561798,3379,21.4900858242084,15.1719443622373,58.8688961231134,6.0332938739272,5.83575022195916,72.9502189997041,2017,E
Atkinson County,Atkinson County High School,485,80.21,18,35,45,2,2.7,31,0.0639175257731959,1637,15.6560781918143,38.2987171655467,44.411117898595,10.5948686621869,5.02382406841784,84.5450458155162,2017,H
Atkinson County,Atkinson County Middle School,366,85.52,16,32,49,4,3.3,22,0.0601092896174863,1637,15.6560781918143,38.2987171655467,44.411117898595,10.5948686621869,5.02382406841784,84.5450458155162,2017,M
Atkinson County,Willacoochee Elementary School,179,89.94,21,34,45,12,10.6,0,0,1637,15.6560781918143,38.2987171655467,44.411117898595,10.5948686621869,5.02382406841784,84.5450458155162,2017,E
Atkinson County,Pearson Elementary School,607,85.83,12,46,41,6,21.3,41,0.0675453047775947,1637,15.6560781918143,38.2987171655467,44.411117898595,10.5948686621869,5.02382406841784,84.5450458155162,2017,E
Bacon County,Bacon County Primary School,479,86.43,24,14,56,3,9.2,0,0,2016,21.3650793650794,12.7306547619048,61.9603174603175,3.71443452380952,2.46775793650794,73.3640079365079,2017,E
Bacon County,Bacon County Middle School,464,67.03,21,11,65,3,0.6,62,0.133620689655172,2016,21.3650793650794,12.7306547619048,61.9603174603175,3.71443452380952,2.46775793650794,73.3640079365079,2017,M
Bacon County,Bacon County High School,560,55.54,17,11,70,2,0.7,53,0.0946428571428571,2016,21.3650793650794,12.7306547619048,61.9603174603175,3.71443452380952,2.46775793650794,73.3640079365079,2017,H
Bacon County,Bacon County Elementary School,513,86.35,24,15,56,2,4.7,4,0.00779727095516569,2016,21.3650793650794,12.7306547619048,61.9603174603175,3.71443452380952,2.46775793650794,73.3640079365079,2017,E
Baker County,Baker County K12 School,281,,65,13,17,1,0,0,0,281,65,13,17,0,1,0,2017,K12
Baldwin County,Oak Hill MS,1146,89.79,70,2,24,0,0.5,685,0.597731239092496,6165,64.3124087591241,2.00259529602595,28.5863746958638,0.534225466342255,0,83.8908467153285,2017,M
Baldwin County,Eagle Ridge Elementary School,738,90.38,80,1,14,0,0,302,0.409214092140921,6165,64.3124087591241,2.00259529602595,28.5863746958638,0.534225466342255,0,83.8908467153285,2017,
Baldwin County,Baldwin High School,1256,75.32,68,2,25,0,0.5,387,0.30812101910828,6165,64.3124087591241,2.00259529602595,28.5863746958638,0.534225466342255,0,83.8908467153285,2017,H
Baldwin County,Midway Elementary School,1473,90.96,63,1,31,0,0,76,0.0515953835709437,6165,64.3124087591241,2.00259529602595,28.5863746958638,0.534225466342255,0,83.8908467153285,2017,E
Baldwin County,Midway Elementary School,1473,90.96,63,1,31,0,0,76,0.0515953835709437,6165,64.3124087591241,2.00259529602595,28.5863746958638,0.534225466342255,0,83.8908467153285,2017,E
Baldwin County,Blandy Hills Elementary School,675,83.7,56,4,35,0,3.1,120,0.177777777777778,6165,64.3124087591241,2.00259529602595,28.5863746958638,0.534225466342255,0,83.8908467153285,2017,
Baldwin County,Creekside Elementary School,877,71.27,47,3,43,0,0,125,0.142531356898518,6165,64.3124087591241,2.00259529602595,28.5863746958638,0.534225466342255,0,83.8908467153285,2017,
Banks County,Banks County Middle School,618,59.87,2,8,88,0,0.6,2,0.00323624595469256,2765,2.20976491862568,8.92368896925859,86.194575045208,2.52481012658228,0,61.0460289330922,2017,M
Banks County,Banks County Elementary School,639,68.23,2,10,84,0,4.1,4,0.00625978090766823,2765,2.20976491862568,8.92368896925859,86.194575045208,2.52481012658228,0,61.0460289330922,2017,E
Banks County,Banks County High School,928,56.03,2,10,86,0,1.3,25,0.0269396551724138,2765,2.20976491862568,8.92368896925859,86.194575045208,2.52481012658228,0,61.0460289330922,2017,H
Banks County,Banks County Primary School,580,62.41,3,7,87,0,4.8,0,0,2765,2.20976491862568,8.92368896925859,86.194575045208,2.52481012658228,0,61.0460289330922,2017,E
Barrow County,Apalachee High School,1754,50.86,13,19,59,0,2.2,286,0.163055872291904,15228,13.1421066456527,17.3032571578671,59.856645652745,5.8655634357762,0,58.1227167060678,2017,H
Barrow County,County Line Elementary School,831,72.08,11,23,56,0,14.1,5,0.00601684717208183,15228,13.1421066456527,17.3032571578671,59.856645652745,5.8655634357762,0,58.1227167060678,2017,E
