district,school_name,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,exclusionary,exclusionary_ps,district_size,d_black,d_hisp,d_white,d_esol,d_migrant,d_frl,year,fac_schtype
Appling County,Appling County High School,1005,90.35,21,12,63,5,0.9,145,0.144278606965174,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,2018,H
Appling County,Appling County Elementary School,579,90.33,32,20,43,9,12.3,11,0.0189982728842832,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,2018,E
Appling County,Appling County Middle School,784,90.43,23,15,57,6,3.4,88,0.112244897959184,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,2018,M
Appling County,Appling County Primary School,489,90.39,29,24,41,9,20,0,0,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,2018,E
Appling County,Altamaha Elementary School,373,90.35,7,7,82,2,4.6,3,0.00804289544235925,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,2018,E
Appling County,Fourth District Elementary School,180,90.56,14,12,72,4,7.2,1,0.00555555555555556,3410,22.5739002932551,15.2219941348974,57.6231671554252,6.8866862170088,6.10175953079179,90.3818181818182,2018,E
Atkinson County,Atkinson County High School,488,80.12,16,36,45,3,2.3,19,0.0389344262295082,1602,15.8551810237204,39.0012484394507,42.7191011235955,11.6961298377029,4.57802746566792,43.4438701622971,2018,H
Atkinson County,Atkinson County Middle School,356,85.67,15,38,44,4,3.1,2,0.00561797752808989,1602,15.8551810237204,39.0012484394507,42.7191011235955,11.6961298377029,4.57802746566792,43.4438701622971,2018,M
Atkinson County,Willacoochee Elementary School,164,,24,32,43,9,15.2,1,0.00609756097560976,1602,15.8551810237204,39.0012484394507,42.7191011235955,11.6961298377029,4.57802746566792,43.4438701622971,2018,E
Atkinson County,Pearson Elementary School,594,,14,44,40,5,23.6,23,0.0387205387205387,1602,15.8551810237204,39.0012484394507,42.7191011235955,11.6961298377029,4.57802746566792,43.4438701622971,2018,E
Bacon County,Bacon County Primary School,489,86.5,23,15,55,5,9.4,6,0.0122699386503067,2040,21.5857843137255,13.1906862745098,60.3156862745098,4.06632352941177,4.19852941176471,73.3816764705882,2018,E
Bacon County,Bacon County Middle School,493,66.73,23,12,61,5,0.4,70,0.141987829614604,2040,21.5857843137255,13.1906862745098,60.3156862745098,4.06632352941177,4.19852941176471,73.3816764705882,2018,M
